[17/06/2017 23:02:26] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [ 88] 
[17/06/2017 23:02:29] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [] 
[17/06/2017 23:04:01] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_setclass], Params: [ 113] 
[17/06/2017 23:38:33] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[17/06/2017 23:38:34] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [] 
[17/06/2017 23:38:43] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_create_item], Params: [ 1459 1111] 
[17/06/2017 23:58:27] --> GM: ddddd [268477825], Target: [ddddd], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:07:58] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 40005], Params: [] 
[18/06/2017 0:08:04] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 5], Params: [] 
[18/06/2017 0:10:51] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_spawn 40005], Params: [] 
[18/06/2017 0:12:02] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:18:37] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:21:29] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_admin], Params: [] 
[18/06/2017 0:21:30] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_move_to], Params: [] 
[18/06/2017 0:21:31] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 0:21:33] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[18/06/2017 0:21:34] --> GM: ddddd [268477825], Target: [Buffer], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[18/06/2017 0:24:27] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_server_restart 0], Params: [] 
[18/06/2017 0:27:02] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_admin], Params: [] 
[18/06/2017 0:27:04] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_move_to], Params: [] 
[18/06/2017 0:27:06] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns.htm] 
[18/06/2017 0:27:07] --> GM: ddddd [268477825], Target: [no-target], Action: [admin_help], Params: [ tele/towns/goddard.htm] 
