[16/07/2017 17:46:09] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_create_item], Params: [] 
[16/07/2017 17:46:14] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_create_item], Params: [ 3865 20] 
[16/07/2017 17:46:35] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_admin], Params: [] 
[16/07/2017 17:46:38] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_move_to], Params: [] 
[16/07/2017 17:46:43] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:46:46] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 17:46:48] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
[16/07/2017 17:46:49] --> GM: Nigga [268439890], Target: [Nigga], Action: [admin_move_to], Params: [ 185708 114298 -8221] 
[16/07/2017 17:47:04] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_admin], Params: [] 
[16/07/2017 17:47:05] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_move_to], Params: [] 
[16/07/2017 17:47:11] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:47:15] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/others/goodies.htm] 
[16/07/2017 17:47:19] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:47:22] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/others/giran.htm] 
[16/07/2017 17:47:31] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/other.htm] 
[16/07/2017 17:47:34] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid.htm] 
[16/07/2017 17:47:35] --> GM: Nigga [268439890], Target: [no-target], Action: [admin_help], Params: [ tele/raid/raid_special.htm] 
